지역,보험명,담당부서명,담당자전화번호,계약자명,피보험자명,청구방법,홈페이지,보험료합계,보장시작,보장종료,보장항목,보장설명,보장금액(원),최종수정일
서울특별시 서초구,2025년 서초구민 생활안전보험,안전도시과,02-2155-6099,서초구,서초구민,"피해구민이 보험사에 직접 청구
서초구민 생활안전보험 상담센터 (1522-3556)",https://www.seocho.go.kr,215000000,20250201,20260131,자연재난 사망,,1000,20250507
서울특별시 서초구,2025년 서초구민 생활안전보험,안전도시과,02-2155-6099,서초구,서초구민,"피해구민이 보험사에 직접 청구
서초구민 생활안전보험 상담센터 (1522-3556)",https://www.seocho.go.kr,215000000,20250201,20260131,자연재난 후유장해,,500,20250507
서울특별시 서초구,2025년 서초구민 생활안전보험,안전도시과,02-2155-6099,서초구,서초구민,"피해구민이 보험사에 직접 청구
서초구민 생활안전보험 상담센터 (1522-3556)",https://www.seocho.go.kr,215000000,20250201,20260131,"화재,붕괴,폭발 사망",,1000,20250507
서울특별시 서초구,2025년 서초구민 생활안전보험,안전도시과,02-2155-6099,서초구,서초구민,"피해구민이 보험사에 직접 청구
서초구민 생활안전보험 상담센터 (1522-3556)",https://www.seocho.go.kr,215000000,20250201,20260131,"화재,붕괴,폭발 후유장해",,500,20250507
서울특별시 서초구,2025년 서초구민 생활안전보험,안전도시과,02-2155-6099,서초구,서초구민,"피해구민이 보험사에 직접 청구
서초구민 생활안전보험 상담센터 (1522-3556)",https://www.seocho.go.kr,215000000,20250201,20260131,사회재난 사망,,1000,20250507
서울특별시 서초구,2025년 서초구민 생활안전보험,안전도시과,02-2155-6099,서초구,서초구민,"피해구민이 보험사에 직접 청구
서초구민 생활안전보험 상담센터 (1522-3556)",https://www.seocho.go.kr,215000000,20250201,20260131,사회재난 후유장해,,500,20250507
서울특별시 강남구,강남구 구민안전보험,강남구 재난안전과,02-3423-6932,강남구,"강남구 주민(사고 당일 기준 강남구에 주민등록을 두고 있는  모든 구민, 등록 외국인 포함)","보험금 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
 *청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급 심사 > 보험금 지급
자세한 사항은 구민안전보험 통합상담센터에 문의해 주세요.(보험청구 소멸시효 기간 : 사고일로부터 3년) 
  *문의전화 : 1522-3556",https://www.gangnam.go.kr/contents/safety_insurance03/1/view.do?mid=ID02_01100703,379833890,20250101,20251231,화상 진단위로금(수술비),강남구민이 상해로 화상을 입고 병원 또는 의원 등에서 수술을 받은 경우,100,20250213
서울특별시 강동구,강동구 구민안전보험,재난안전과,02-3425-9282,강동구,서울특별시 강동구에 주민등록을 둔 모든 군민 (등록 외국인 포함),"보험금 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
 *청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
 *자세한 사항은 시민안전보험 통합상담센터(1522-3556)에 문의해 주세요.",http://www.gangdong.go.kr/web/newportal/bbs/b_068/148235,82730580,20250125,20260124,화상 진단위로금(수술비),상해로 화상을 입고 수술을 받은 경우(심재성 2도이상),100,20250502
부산광역시 중구,서구 구민안전보험,구민안전과,051-240-4644,부산 서구,서구에 주민등록 된 전 구민(등록외국인 포함),"보험금 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
*청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
*자세한 사항은 한국지방재정공제회(1577-5939)에 문의해 주세요.",https://www.bsseogu.go.kr/board/view.do?boardId=BBS_0000039&menuCd=DOM_000000103001012000&orderBy=REGISTER_DATE%20DESC&paging=ok&startPage=1&dataSid=242384,108551780,20250110,20260109,자연재난 사망,"자연재해(일사병, 열사병, 저체온증 포함)로 사망한 경우(단, 15세 미만자 제외)",2000,20250211
부산광역시 중구,서구 구민안전보험,구민안전과,051-240-4644,부산 서구,서구에 주민등록 된 전 구민(등록외국인 포함),"보험금 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
*청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
*자세한 사항은 한국지방재정공제회(1577-5939)에 문의해 주세요.",https://www.bsseogu.go.kr/board/view.do?boardId=BBS_0000039&menuCd=DOM_000000103001012000&orderBy=REGISTER_DATE%20DESC&paging=ok&startPage=1&dataSid=242384,108551780,20250110,20260109,자연재난 후유장해,"자연재해(일사병, 열사병, 저체온증 포함)로  3~100%의 상해 후유장해가 발생한 경우",1000,20250211
부산광역시 중구,서구 구민안전보험,구민안전과,051-240-4644,부산 서구,서구에 주민등록 된 전 구민(등록외국인 포함),"보험금 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
*청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
*자세한 사항은 한국지방재정공제회(1577-5939)에 문의해 주세요.",https://www.bsseogu.go.kr/board/view.do?boardId=BBS_0000039&menuCd=DOM_000000103001012000&orderBy=REGISTER_DATE%20DESC&paging=ok&startPage=1&dataSid=242384,108551780,20250110,20260109,"화재,붕괴,폭발 사망","폭발, 화재, 붕괴 사고로 상해 사망한 경우(단, 15세 미만자 제외)",2000,20250211
부산광역시 중구,서구 구민안전보험,구민안전과,051-240-4644,부산 서구,서구에 주민등록 된 전 구민(등록외국인 포함),"보험금 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
*청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
*자세한 사항은 한국지방재정공제회(1577-5939)에 문의해 주세요.",https://www.bsseogu.go.kr/board/view.do?boardId=BBS_0000039&menuCd=DOM_000000103001012000&orderBy=REGISTER_DATE%20DESC&paging=ok&startPage=1&dataSid=242384,108551780,20250110,20260109,"화재,붕괴,폭발 후유장해","폭발, 화재, 붕괴 사고로 3~100%의 상해 후유장해가 발생한 경우",2000,20250211
부산광역시 중구,서구 구민안전보험,구민안전과,051-240-4644,부산 서구,서구에 주민등록 된 전 구민(등록외국인 포함),"보험금 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
*청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
*자세한 사항은 한국지방재정공제회(1577-5939)에 문의해 주세요.",https://www.bsseogu.go.kr/board/view.do?boardId=BBS_0000039&menuCd=DOM_000000103001012000&orderBy=REGISTER_DATE%20DESC&paging=ok&startPage=1&dataSid=242384,108551780,20250110,20260109,화상 진단위로금(수술비),상해로 화상(심재성2도 이상)을 입고 그 치료를 직접적인 목적으로 수술을 받은 경우,100,20250211
부산광역시 중구,서구 구민안전보험,구민안전과,051-240-4644,부산 서구,서구에 주민등록 된 전 구민(등록외국인 포함),"보험금 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
*청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
*자세한 사항은 한국지방재정공제회(1577-5939)에 문의해 주세요.",https://www.bsseogu.go.kr/board/view.do?boardId=BBS_0000039&menuCd=DOM_000000103001012000&orderBy=REGISTER_DATE%20DESC&paging=ok&startPage=1&dataSid=242384,108551780,20250110,20260109,사회재난 사망,"사회재난(재난상황으로 보고된 건에 한함)으로 사망한 경우(단, 15세 미만자 제외)",2000,20250211
부산광역시 중구,서구 구민안전보험,구민안전과,051-240-4644,부산 서구,서구에 주민등록 된 전 구민(등록외국인 포함),"보험금 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
*청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
*자세한 사항은 한국지방재정공제회(1577-5939)에 문의해 주세요.",https://www.bsseogu.go.kr/board/view.do?boardId=BBS_0000039&menuCd=DOM_000000103001012000&orderBy=REGISTER_DATE%20DESC&paging=ok&startPage=1&dataSid=242384,108551780,20250110,20260109,사회재난 후유장해,사회재난(재난상황으로 보고된 건에 한함)으로  3~100%의 상해 후유장해가 발생한 경우,1000,20250211
부산광역시 서구,동구 구민안전보험,안전예방과,051-440-4648,동구,동구에 주민등록을 둔 주민(등록외국인 포함),"보험금 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
*청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
*자세한 사항은 통합상담센터(1522-3556)에 문의해 주세요.",https://www.bsdonggu.go.kr/index.donggu?menuCd=DOM_000000104001005000,59782050,20240801,20250731,화상 진단위로금(수술비),동구구민이 상해로 화상을 입고 병원 또는 의원 등에서 수술을 받은 경우,100,20250213
부산광역시 동구,영도구 구민안전보험,도시안전과,051-419-4644,영도구,영도구에 주민등록이 되어 있는 구민,"청구사유 발생 시 증빙서류 첨부, 보험사(한국지방재정공제회) 청구",https://www.yeongdo.go.kr/00672/00768/04236.web,47380050,20250201,20260131,자연재난 후유장해,"구민이 자연재해(일사병, 열사병, 저체온증 포함)로 상해 후유장해가 발생한 경우",500,20250210
부산광역시 동구,영도구 구민안전보험,도시안전과,051-419-4644,영도구,영도구에 주민등록이 되어 있는 구민,"청구사유 발생 시 증빙서류 첨부, 보험사(한국지방재정공제회) 청구",https://www.yeongdo.go.kr/00672/00768/04236.web,47380050,20250201,20260131,화상 진단위로금(수술비),상해의 직접결과로써 화상분류표에서 정한 화상을 입고 그 치료를 목적으로 수술을 받은 경우,100,20250210
부산광역시 동구,영도구 구민안전보험,도시안전과,051-419-4644,영도구,영도구에 주민등록이 되어 있는 구민,"청구사유 발생 시 증빙서류 첨부, 보험사(한국지방재정공제회) 청구",https://www.yeongdo.go.kr/00672/00768/04236.web,47380050,20250201,20260131,사회재난 후유장해, 구민이 사회재난(재난상황으로 보고된 건에 한함)으로 상해 후유장해가 발생한 경우,500,20250210
부산광역시 부산진구,동래구 구민안전보험,도시안전과,051-550-4636,동래구,동래구에 주민등록이 된 모든 구민(등록외국인 포함),"보험구 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
*청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
*자세한 사항은 한국지방재정공제회에 문의(☎1577-5939)",https://www.dongnae.go.kr/index.dongnae?menuCd=DOM_000000105008001010,118367100,20250101,20251231,자연재난 사망,자연재해(감염병 제외)로 사망한 경우,1000,20250211
부산광역시 부산진구,동래구 구민안전보험,도시안전과,051-550-4636,동래구,동래구에 주민등록이 된 모든 구민(등록외국인 포함),"보험구 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
*청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
*자세한 사항은 한국지방재정공제회에 문의(☎1577-5939)",https://www.dongnae.go.kr/index.dongnae?menuCd=DOM_000000105008001010,118367100,20250101,20251231,자연재난 후유장해,자연재해(감염병 제외)로 3~100%의 후유장해가 발생한 경우,1000,20250211
부산광역시 부산진구,동래구 구민안전보험,도시안전과,051-550-4636,동래구,동래구에 주민등록이 된 모든 구민(등록외국인 포함),"보험구 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
*청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
*자세한 사항은 한국지방재정공제회에 문의(☎1577-5939)",https://www.dongnae.go.kr/index.dongnae?menuCd=DOM_000000105008001010,118367100,20250101,20251231,화상 진단위로금(수술비),상해의 직접결과로써 화상분류표에서 정한 화상(심재성 2도 이상)을 입고 그 치료를 목적으로 수술을 받은 경우,100,20250211
부산광역시 부산진구,동래구 구민안전보험,도시안전과,051-550-4636,동래구,동래구에 주민등록이 된 모든 구민(등록외국인 포함),"보험구 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
*청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
*자세한 사항은 한국지방재정공제회에 문의(☎1577-5939)",https://www.dongnae.go.kr/index.dongnae?menuCd=DOM_000000105008001010,118367100,20250101,20251231,사회재난 사망,사회재난(감염병 제외)으로 사망한 경우,1000,20250211
부산광역시 부산진구,동래구 구민안전보험,도시안전과,051-550-4636,동래구,동래구에 주민등록이 된 모든 구민(등록외국인 포함),"보험구 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
*청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
*자세한 사항은 한국지방재정공제회에 문의(☎1577-5939)",https://www.dongnae.go.kr/index.dongnae?menuCd=DOM_000000105008001010,118367100,20250101,20251231,사회재난 후유장해,사회재난(감염병 제외)로 3~100%의 후유장해가 발생한 경우,1000,20250211
부산광역시 동래구,남구 구민안전보험,안전총괄과,051-607-4648,부산남구,남구에 주민등록을 둔 모든 구민 (등록 외국인 포함),"○ 보험금 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
○ 청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
○ 자세한 사항은 통합상담센터(☏1522-3556)에 문의해 주시기 바랍니다.",https://www.bsnamgu.go.kr/index.namgu?menuCd=DOM_000000125004017000,213447080,20250201,20260131,화상 진단위로금(수술비),상해로 화상을 입고 병원 또는 의원 등에서 수술을 받은 경우(심재성2도이상),100,20250216
부산광역시 사하구,사하구 구민안전보험,안전총괄과,051-220-4646,사하구,사하구에 주민등록이 되어 있는 모든 구민 (등록된 외국인포함) ,"■ 청구사유 발생 시 상기 공통서류 및 지급 사유별 필요서류를 첨부하여 아래 접수센터로 연락바랍니다.
■ 자세한 안내가 필요하시면 아래 연락처로 연락주세요.
     구민안전보험 보험금 청구 및 접수처 (보험사 상담접수센터)
     - 전화문의 : 1522-3556 
     - 팩    스 : 0507-774-0662",https://www.saha.go.kr/portal/contents.do?mId=0410120000,156386310,20250201,20260131,자연재난 후유장해,"사하구민이 자연재해(일사병,열사병 포함)로 인해 3%~100%의 후유장해가 발생한 경우 (장해비율에 따라 차등 지급)",1000,20250211
부산광역시 사하구,사하구 구민안전보험,안전총괄과,051-220-4646,사하구,사하구에 주민등록이 되어 있는 모든 구민 (등록된 외국인포함) ,"■ 청구사유 발생 시 상기 공통서류 및 지급 사유별 필요서류를 첨부하여 아래 접수센터로 연락바랍니다.
■ 자세한 안내가 필요하시면 아래 연락처로 연락주세요.
     구민안전보험 보험금 청구 및 접수처 (보험사 상담접수센터)
     - 전화문의 : 1522-3556 
     - 팩    스 : 0507-774-0662",https://www.saha.go.kr/portal/contents.do?mId=0410120000,156386310,20250201,20260131,화상 진단위로금(수술비),사하구민이 상해로 화상을 입고 병원 또는  의원 등에서 수술을 받은 경우 (심재성 2도 이상),100,20250211
부산광역시 금정구,금정구 구민안전보험,안전관리과,051-519-4642,금정구,금정구에 주민등록을 둔 모든 구민 (등록 외국인 포함),"보험구 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
 *청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
 *자세한 사항은 한국지방재정공제회에 문의해 주세요.",https://www.geumjeong.go.kr/index.geumj?menuCd=DOM_000000129001001009,147267040,20250201,20260131,화상 진단위로금(수술비),화상을 입고 그 치료를 직접적인 목적으로 수술을 받을 때,100,20250206
부산광역시 연제구,연제구 구민안전보험,도시안전과,051-665-4647,연제구,연제구에 주민등록을 둔 모든 구민(등록 외국인 포함),"보험금 청구 사유 발생 시 보험사로 피보험자 또는 법정상속인이 사고 접수 및 보험금 청구
*자세한 사항은 보험사 ☎ 1522-3556(디비손해보험 컨소시엄) 에 문의해 주세요.",https://www.yeonje.go.kr/portal/contents.do?mId=0605050600,97103520,20240801,20250731,화상 진단위로금(수술비),상해로 화상을 입고 병원 또는  의원 등에서 수술을 받은 경우(심재성 2도 이상),100,20240902
부산광역시 수영구,수영구 어린이 안전보험,안전관리과,051-610-4646,수영구,"수영구에 주민등록을 둔 13세 미만 어린이 (등록외국인, 외국국적동포 포함)","보험금 청구 사유 발생 시 청구처로 구비서류를 법정대리인이 작성 후 친권자가 서명하여 보험금 청구
*청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
*자세한 사항은 하나손해보험(주) 접수창구(☎02-6714-6835)에 문의해 주세요.",https://www.suyeong.go.kr/safe/index.suyeong?menuCd=DOM_000001005010000000,104430220,20250101,20251231,화상 진단위로금(수술비),13세 미만 어린이가 급격하고도 우연한 외래의 사고로 신체에 상해를 입고 그 직접적인 결과로 화상분류표에 정한 화상(심재성 2도 이상)으로 진단 확정된 경우 ,20,20250212
부산광역시 사상구,사상구 구민안전보험,안전총괄과,051-310-4637,사상구,사상구에 주민등록을 둔 모든 군민 (등록 외국인 포함),보험구 청구 사유 발생 시 통합상담센터(☎1522-3556)에 문의 후 사고접수 및 서류제출(팩스 또는 우편 제출),https://www.sasang.go.kr/index.sasang?menuCd=DOM_000000108014000000,74864680,20250201,20260131,자연재난 사망,"자연재해(일사병, 열사병 포함)로 사망한 경우(만 15세미만 제외)",500,20250213
부산광역시 사상구,사상구 구민안전보험,안전총괄과,051-310-4637,사상구,사상구에 주민등록을 둔 모든 군민 (등록 외국인 포함),보험구 청구 사유 발생 시 통합상담센터(☎1522-3556)에 문의 후 사고접수 및 서류제출(팩스 또는 우편 제출),https://www.sasang.go.kr/index.sasang?menuCd=DOM_000000108014000000,74864680,20250201,20260131,자연재난 후유장해,"자연재해(일사병, 열사병 포함)로 후유장해가 발생한 경우",500,20250213
부산광역시 사상구,사상구 구민안전보험,안전총괄과,051-310-4637,사상구,사상구에 주민등록을 둔 모든 군민 (등록 외국인 포함),보험구 청구 사유 발생 시 통합상담센터(☎1522-3556)에 문의 후 사고접수 및 서류제출(팩스 또는 우편 제출),https://www.sasang.go.kr/index.sasang?menuCd=DOM_000000108014000000,74864680,20250201,20260131,화상 진단위로금(수술비),상해로 화상을 입고 수술을 받은 경우,150,20250213
부산광역시 사상구,사상구 구민안전보험,안전총괄과,051-310-4637,사상구,사상구에 주민등록을 둔 모든 군민 (등록 외국인 포함),보험구 청구 사유 발생 시 통합상담센터(☎1522-3556)에 문의 후 사고접수 및 서류제출(팩스 또는 우편 제출),https://www.sasang.go.kr/index.sasang?menuCd=DOM_000000108014000000,74864680,20250201,20260131,사회재난 사망,사회재난(감염병 제외)로 사망한 경우(만 15세미만 제외),500,20250213
부산광역시 사상구,사상구 구민안전보험,안전총괄과,051-310-4637,사상구,사상구에 주민등록을 둔 모든 군민 (등록 외국인 포함),보험구 청구 사유 발생 시 통합상담센터(☎1522-3556)에 문의 후 사고접수 및 서류제출(팩스 또는 우편 제출),https://www.sasang.go.kr/index.sasang?menuCd=DOM_000000108014000000,74864680,20250201,20260131,사회재난 후유장해,사회재난(감염병 제외)로 후유장해가 발생한 경우,500,20250213
광주광역시 서구,동구민 생활안전보험,주민안전담당관,062-608-2803,광주광역시 동구청,동구에 주민등록을 둔 모든 구민(등록 외국인 포함),"보험구 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
  *청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
  *자세한 사항은 시민안전보험 통합상담센터에 문의해 주세요.",https://www.donggu.kr/index.es?sid=a1,49113410,20250101,20251231,화상 진단위로금(수술비),상해로 화상을 입고 수술을 받은 경우,100,20250401
광주광역시 남구,서구 구민안전보험,안전총괄과,062-360-7538,광주광역시 서구,서구에 주민등록을 둔 모든 군민 (등록 외국인 포함),"보험구 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
  *청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
  *자세한 사항은 시민안전보험 통합상담센터(☎1522-3556)에 문의해 주세요.
  *화재폭발붕괴사고 상해사망,후유장해는 2025년 3월 1일부터 보장",https://www.seogu.gwangju.kr/menu.es?mid=a10306130000,93663890,20250201,20260131,"화재,붕괴,폭발 사망","서구민이 화재,붕괴,폭발 사망사고로 사망한 경우(만15세 미만자 제외) *타 보험가입 여부와 관계없이 중복보상",250,20250310
광주광역시 남구,서구 구민안전보험,안전총괄과,062-360-7538,광주광역시 서구,서구에 주민등록을 둔 모든 군민 (등록 외국인 포함),"보험구 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
  *청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
  *자세한 사항은 시민안전보험 통합상담센터(☎1522-3556)에 문의해 주세요.
  *화재폭발붕괴사고 상해사망,후유장해는 2025년 3월 1일부터 보장",https://www.seogu.gwangju.kr/menu.es?mid=a10306130000,93663890,20250201,20260131,"화재,붕괴,폭발 후유장해","서구민이 화재,붕괴,폭발 사망사고로 3%~10%의 후유장해가 발생한 경우 *타 보험가입 여부와 관계없이 중복보상",250,20250310
광주광역시 남구,서구 구민안전보험,안전총괄과,062-360-7538,광주광역시 서구,서구에 주민등록을 둔 모든 군민 (등록 외국인 포함),"보험구 청구 사유 발생 시 청구처로 피보험자 또는 법정상속인이 사고접수 및 보험금 청구
  *청구절차: 보험금 청구 문의 > 필요 증빙서류 안내 > 보험금 신청 > 보험금 지급심사 > 보험금 지급
  *자세한 사항은 시민안전보험 통합상담센터(☎1522-3556)에 문의해 주세요.
  *화재폭발붕괴사고 상해사망,후유장해는 2025년 3월 1일부터 보장",https://www.seogu.gwangju.kr/menu.es?mid=a10306130000,93663890,20250201,20260131,화상 진단위로금(수술비),서구민이 상해로 화상을 입고 병원 또는 의원 등에서 수술을 받은 경우 *타 보험가입 여부와 관계없이 중복보상(수술1회당),100,20250310
광주광역시 북구,2025년 남구 구민안전보험,안전총괄과,062-607-2954,광주광역시 남구청,남구민,"○ 보험금 청구 : 보험사 문의
  ► 청구사유 발생 시 사고일로부터 3년 이내 본인 또는 가족이 보험사 직접 청구
  ► 청구 시 증빙서류(공통서류+기타 필요서류)를 첨부하여 보험사에 청구
   - 보험청구(서류 포함) 문의 : 보험사 통합고객센터(☏ 1522-3556)
   - 기타문의 : 안전총괄과(062-607-2954)",https://www.namgu.gwangju.kr/menu.es?mid=a10507080000,44636270,20250331,20260330,자연재난 사망,"자연재해(일사병, 열사병포함)로 인해 사망한 경우(만15세 미만자 제외)",200,20250423
