지점,지점명,일시,평균기온(°C),강수 계속시간(hr),평균 이슬점온도(°C),평균 상대습도(%),일 최심적설(cm)
90,속초,2023-05-12,14.5,,10.7,79.5,
90,속초,2023-05-13,13,,10.8,87.1,
90,속초,2023-05-14,14.3,,12.6,90.1,
90,속초,2023-05-15,16.3,,12.1,77.4,
90,속초,2023-05-16,27.5,,9.4,35.8,
90,속초,2023-05-17,25.4,,8.4,35,
90,속초,2023-05-18,19.8,,13.9,71,
90,속초,2023-05-19,14.5,,11.2,80.8,
90,속초,2023-05-20,17.8,,10.8,65.9,
90,속초,2023-05-21,22.5,,8.4,41.5,
90,속초,2023-05-22,17.9,,6.9,49.9,
90,속초,2023-05-23,16.9,,8.4,58.3,
90,속초,2023-05-24,18.1,,7.7,53.5,
90,속초,2023-05-25,18.4,,10.8,62.6,
90,속초,2023-05-26,19.2,,11.6,62.4,
90,속초,2023-05-27,18.7,,14.3,77.3,
90,속초,2023-05-28,15.6,,15.3,98.4,
90,속초,2023-05-29,17.3,,16.2,93.8,
90,속초,2023-05-30,17.1,,15.2,88.9,
90,속초,2023-05-31,17.4,,13.9,81,
90,속초,2023-06-01,20.8,,15.1,71,
90,속초,2023-06-02,19.4,,14.8,75.5,
90,속초,2023-06-03,23.5,,8.5,44.4,
90,속초,2023-06-04,25,,8.8,37.5,
90,속초,2023-06-05,25.5,,11.3,41.9,
90,속초,2023-06-06,22.5,,12.7,55.1,
90,속초,2023-06-07,24,,13.9,54.1,
90,속초,2023-06-08,23.1,,13.9,57.9,
90,속초,2023-06-09,19.5,,14.4,73.9,
90,속초,2023-06-10,18.7,,16,84.9,
90,속초,2023-06-11,18.7,,16.8,89.1,
90,속초,2023-06-12,18.9,,17.4,91.6,
90,속초,2023-06-13,18.9,,17.3,90.8,
90,속초,2023-06-14,18.6,,16.2,86.1,
90,속초,2023-06-15,19.5,,17.2,86.9,
90,속초,2023-06-16,22.8,,17.9,75.9,
90,속초,2023-06-17,27,,16.4,54.1,
90,속초,2023-06-18,23.4,,18.2,73.6,
90,속초,2023-06-19,22.1,,19.2,84,
90,속초,2023-06-20,21.1,,18.2,84.3,
90,속초,2023-06-21,18.8,,16.9,89.1,
90,속초,2023-06-22,20.4,,17.2,82.3,
90,속초,2023-06-23,21.4,,18.2,83,
90,속초,2023-06-24,21,,17.9,83,
90,속초,2023-06-25,21.7,,19.1,86.1,
90,속초,2023-06-26,20.4,,19.7,95.9,
90,속초,2023-06-27,26.8,,18.7,64.4,
90,속초,2023-06-28,28.8,,19.4,58,
90,속초,2023-06-29,23.7,,19.8,80.3,
90,속초,2023-06-30,21.9,,20,89.4,
90,속초,2023-07-01,23.2,,20.3,84.4,
90,속초,2023-07-02,25.9,,20.2,72,
90,속초,2023-07-03,23.4,,21.1,87.6,
90,속초,2023-07-04,23.4,,21.6,90.1,
90,속초,2023-07-05,27.4,,19.2,64,
90,속초,2023-07-06,30.1,,17.3,47.4,
90,속초,2023-07-07,24.5,,19.3,73.8,
90,속초,2023-07-08,22.6,,20.1,86.4,
90,속초,2023-07-09,22.5,,20.7,90.3,
90,속초,2023-07-10,27.6,,20.7,68.6,
90,속초,2023-07-11,26.3,,20,68.9,
90,속초,2023-07-12,26,,21.4,76.5,
90,속초,2023-07-13,24.3,,22.7,91.4,
90,속초,2023-07-14,26.5,,23.3,83.3,
90,속초,2023-07-15,25.9,,20.9,75.1,
90,속초,2023-07-16,25.3,,20.8,76.9,
90,속초,2023-07-17,25,,21.9,83.3,
90,속초,2023-07-18,25,,22.5,87,
90,속초,2023-07-19,23.8,,21.3,86.3,
90,속초,2023-07-20,23.8,,21.7,88.9,
90,속초,2023-07-21,24.6,,22.5,88.5,
90,속초,2023-07-22,24.9,,22.3,85.9,
90,속초,2023-07-23,24.5,,21.4,84,
90,속초,2023-07-24,26.3,,22.7,81.6,
90,속초,2023-07-25,27.3,,21.7,71.9,
90,속초,2023-07-26,27,,22.6,77.5,
90,속초,2023-07-27,28.5,,22.4,70.6,
90,속초,2023-07-28,28.2,,23.5,76.3,
90,속초,2023-07-29,29,,23.2,71.8,
90,속초,2023-07-30,29.1,,22,66.9,
90,속초,2023-07-31,27.7,,23.1,77,
90,속초,2023-08-01,27.2,,23.6,81.4,
90,속초,2023-08-02,30.3,,23.4,67.6,
90,속초,2023-08-03,31.5,,20.9,54.4,
90,속초,2023-08-04,31.2,,22.5,60.6,
90,속초,2023-08-05,31,,22.7,63.1,
90,속초,2023-08-06,27,,24.8,88.4,
90,속초,2023-08-07,23.8,,21.9,89.5,
90,속초,2023-08-08,22.8,,20.3,86.1,
90,속초,2023-08-09,21.8,,20.3,91.9,
90,속초,2023-08-10,22.2,,21.3,95,
90,속초,2023-08-11,25.4,,20.6,76.8,
90,속초,2023-08-12,23.2,,21,87.8,
90,속초,2023-08-13,22.8,,21.3,91.6,
90,속초,2023-08-14,23.2,,21.6,91.1,
90,속초,2023-08-15,22.1,,20.5,91.3,
90,속초,2023-08-16,23.2,,20.8,86.6,
90,속초,2023-08-17,24.1,,21.9,88.1,
90,속초,2023-08-18,24.1,,22.1,89.1,
90,속초,2023-08-19,24.5,,22.5,89,
90,속초,2023-08-20,24.7,,23,90.6,
90,속초,2023-08-21,25.6,,23.9,91,
90,속초,2023-08-22,26.7,,23.1,82.3,
90,속초,2023-08-23,23.4,,21.9,91.4,
90,속초,2023-08-24,22.3,,21.1,92.9,
90,속초,2023-08-25,23.7,,21.4,87.3,
90,속초,2023-08-26,24.6,,20,76.5,
90,속초,2023-08-27,23.1,,20.8,87,
90,속초,2023-08-28,21.5,,20.3,93.3,
90,속초,2023-08-29,23.9,,22.7,93.3,
90,속초,2023-08-30,22.5,,20.7,89.9,
90,속초,2023-08-31,22.5,,19.6,84.6,
90,속초,2023-09-01,22.8,,18.3,76.9,
90,속초,2023-09-02,22.7,,18,75.4,
90,속초,2023-09-03,22.5,,20.4,88.1,
90,속초,2023-09-04,23.6,,21.2,87,
90,속초,2023-09-05,23.7,,21.4,87.3,
90,속초,2023-09-06,23.4,,20.5,84.1,
90,속초,2023-09-07,22.4,,18.8,81,
90,속초,2023-09-08,22.3,,18.2,78.8,
90,속초,2023-09-09,22.1,,18.2,79.5,
90,속초,2023-09-10,22.3,,18.8,81.3,
90,속초,2023-09-11,23,,19.6,81.9,
90,속초,2023-09-12,24.4,,20.6,80.1,
90,속초,2023-09-13,20.2,,19.1,93.8,
90,속초,2023-09-14,21.1,,18.9,88,
90,속초,2023-09-15,21,,19.5,91.9,
90,속초,2023-09-16,21.5,,20.3,93.5,
90,속초,2023-09-17,22,,20.7,92.9,
90,속초,2023-09-18,23.1,,21,88.9,
90,속초,2023-09-19,25.9,,17.8,61.6,
90,속초,2023-09-20,19.6,,17.6,88.5,
90,속초,2023-09-21,17.7,,13.4,76.9,
90,속초,2023-09-22,18.5,,13.9,75.4,
90,속초,2023-09-23,20.4,,14.5,69.6,
90,속초,2023-09-24,19.3,,12.8,67.5,
90,속초,2023-09-26,18.8,,18.1,95.9,
90,속초,2023-09-27,19.5,,18.7,95.5,
90,속초,2023-09-28,23.8,,16.5,65.8,
90,속초,2023-09-29,20.4,,13.4,65.6,
90,속초,2023-09-30,21.3,,12.2,57,
90,속초,2023-10-01,19.3,,7.9,48,
90,속초,2023-10-02,18.1,,6,46.8,
90,속초,2023-10-03,18,,9,56.3,
90,속초,2023-10-04,19.8,,9.3,51.9,
90,속초,2023-10-05,15.5,,2.5,42.5,
90,속초,2023-10-06,15.3,,3.9,48.8,
90,속초,2023-10-07,17.4,,10.2,63.9,
90,속초,2023-10-08,15.2,,11.9,81.6,
90,속초,2023-10-09,16,,11.7,76.3,
90,속초,2023-10-10,16.1,,11,73.4,
90,속초,2023-10-11,16.1,,10.2,69,
90,속초,2023-10-12,16.5,,12,75.3,
90,속초,2023-10-13,17.1,,12.6,75.6,
90,속초,2023-10-14,15.8,,10.1,69.3,
90,속초,2023-10-15,18.4,,8.1,52.3,
90,속초,2023-10-16,15.8,,10.2,70.4,
90,속초,2023-10-17,14.6,,7.2,62.4,
90,속초,2023-10-18,19,,6,45,
90,속초,2023-10-19,19,,10.2,57.3,
90,속초,2023-10-20,13.5,,-1.9,36.1,
90,속초,2023-10-21,10.8,,-1.2,44.6,
90,속초,2023-10-22,15.1,,0.8,39.1,
90,속초,2023-10-23,16.5,,6.8,53.9,
90,속초,2023-10-24,17,,7.1,52.8,
90,속초,2023-10-25,18.5,,9.4,55.6,
90,속초,2023-10-26,19.3,,9.2,52.4,
90,속초,2023-10-27,12.3,,8.6,79,
90,속초,2023-10-28,13.1,,9.1,77.4,
90,속초,2023-10-29,13.6,,8.6,73.3,
90,속초,2023-10-30,15.9,,8.4,62.8,
90,속초,2023-10-31,18.4,,7,48.5,
90,속초,2023-11-01,21.2,,11.8,55.3,
90,속초,2023-11-02,22,,9.1,49.9,
90,속초,2023-11-03,19.3,,10.4,63.4,
90,속초,2023-11-04,13.5,,12.3,92.9,
90,속초,2023-11-05,14.4,,12.8,90.6,
90,속초,2023-11-06,16.5,,7.3,57.3,
90,속초,2023-11-07,9.5,,-4.3,38.8,
90,속초,2023-11-08,9.5,,2.2,61.8,
90,속초,2023-11-09,13.3,,6.2,66.6,
90,속초,2023-11-10,9.5,,-4.5,38.3,
90,속초,2023-11-11,4.9,,-5.2,48.8,
90,속초,2023-11-12,3.5,,-9.3,40.3,
90,속초,2023-11-13,4.8,,-10.1,33.9,
90,속초,2023-11-14,6.7,,-7.3,37.4,
90,속초,2023-11-15,8,,-2.6,48.3,
90,속초,2023-11-16,8.1,,0.8,60.5,
90,속초,2023-11-17,4.2,,-8.4,40,
90,속초,2023-11-18,3.9,,-11.5,31.8,
90,속초,2023-11-19,9.2,,-2.7,43.8,
90,속초,2023-11-20,7.2,,-2.4,51.8,
90,속초,2023-11-21,12,,-3.8,35,
90,속초,2023-11-22,12.6,,2.1,51,
90,속초,2023-11-23,13.9,,-1.7,36.1,
90,속초,2023-11-24,1.2,,-15.6,28,
90,속초,2023-11-25,0.1,,-13.9,35,
90,속초,2023-11-26,5.5,,-6.8,43,
90,속초,2023-11-27,8.2,,0.1,57.4,
90,속초,2023-11-28,3.6,,-13.2,29,
90,속초,2023-11-29,1,,-12.9,35,
90,속초,2023-11-30,-2.4,,-16.1,34.3,
90,속초,2023-12-01,-0.7,,-16.6,29.4,
90,속초,2023-12-02,3.9,,-9.3,37.6,
90,속초,2023-12-03,2,,-8.7,45.3,
90,속초,2023-12-04,5.9,,-8,37,
90,속초,2023-12-05,6.9,,-1.1,57.4,
90,속초,2023-12-06,8.9,,0.1,55,
90,속초,2023-12-07,7.9,,-6.8,34.9,
90,속초,2023-12-08,12.7,,2.9,52.1,
90,속초,2023-12-09,14,,6.1,60.9,
90,속초,2023-12-10,9.3,,5.7,79.3,
90,속초,2023-12-11,6.8,,5.2,89.6,
90,속초,2023-12-12,2.5,,1,90.3,
90,속초,2023-12-13,4.7,,1.8,82.3,
90,속초,2023-12-14,4.9,,3.2,89,
90,속초,2023-12-15,2,,0.9,92.6,
90,속초,2023-12-16,-1.7,,-9.9,57,
90,속초,2023-12-18,-4.8,,-20.4,29,
90,속초,2023-12-19,-2.5,,-12.1,49,
90,속초,2023-12-20,-5,,-17.1,38.9,
90,속초,2023-12-21,-8.9,,-23.3,30.5,
90,속초,2023-12-22,-8.4,,-22.2,32.6,
90,속초,2023-12-23,-4.2,,-18.9,31,
90,속초,2023-12-24,-0.7,,-12.2,41.5,
90,속초,2023-12-25,1.1,,-9.3,46.1,
90,속초,2023-12-26,3.1,,-6.8,48.3,
90,속초,2023-12-27,0.5,,-5.5,65.3,
90,속초,2023-12-28,2.4,,-7.3,53,
90,속초,2023-12-29,3,,-6.6,50,
90,속초,2023-12-30,2.2,,-2.5,73.1,
90,속초,2023-12-31,1.6,,0.1,90.1,
90,속초,2024-01-01,2.7,,-0.2,81.6,
90,속초,2024-01-03,3.1,,-5.6,52.9,
90,속초,2024-01-04,2.9,,-6.7,49.8,
90,속초,2024-01-05,7.7,,-3.5,45.3,
90,속초,2024-01-06,2.8,,-11,37,
90,속초,2024-01-07,-2.3,,-17.8,30.8,
90,속초,2024-01-08,-2.5,,-18.1,30.8,
90,속초,2024-01-09,2.2,,-6.1,54.4,
90,속초,2024-01-10,1.1,,-5.9,59.8,
90,속초,2024-01-11,3.1,,-8.3,43.4,
90,속초,2024-01-12,4.2,,-13,28.9,
90,속초,2024-01-13,-0.1,,-12,42.9,
90,속초,2024-01-14,3.8,,-6.6,47.1,
90,속초,2024-01-15,0,,-10.2,46.4,
90,속초,2024-01-16,0.5,,-10.6,43.5,
90,속초,2024-01-17,6,,-7.2,43.5,
90,속초,2024-01-18,4.7,,0.4,73.5,
90,속초,2024-01-19,2.3,,-1.8,74.3,
90,속초,2024-01-20,1,,-0.9,87.3,
90,속초,2024-01-21,-0.1,,-1.4,90.8,
90,속초,2024-01-22,-4.7,,-13.5,51,
90,속초,2024-01-23,-10.1,,-20.3,43.5,
90,속초,2024-01-24,-7.9,,-20,37.6,
90,속초,2024-01-25,-4.3,,-16.5,38.9,
90,속초,2024-01-26,-0.2,,-11.5,42.6,
90,속초,2024-01-27,0.7,,-9.3,49,
90,속초,2024-01-28,-0.7,,-7.8,59.5,
90,속초,2024-01-29,-0.8,,-6.8,64.4,
90,속초,2024-01-30,-0.8,,-5.6,70.8,
90,속초,2024-01-31,3.6,,-4.3,59.6,
90,속초,2024-02-01,-0.1,,-2.6,83,
90,속초,2024-02-02,-0.7,,-2.6,87.3,
90,속초,2024-02-03,1.1,,-1.6,82.3,
90,속초,2024-02-04,1.8,,-1.4,78.9,
90,속초,2024-02-05,0,,-1.5,89.3,
90,속초,2024-02-06,-1,,-4.6,76.9,
90,속초,2024-02-07,-0.7,,-3.2,83,
90,속초,2024-02-08,-0.3,,-4.8,72.5,
90,속초,2024-02-09,0.9,,-4.2,69,
90,속초,2024-02-10,2.2,,-7,52.1,
90,속초,2024-02-11,1.7,,-8.8,46.4,
90,속초,2024-02-12,4.1,,-5.5,51.3,
90,속초,2024-02-13,11.9,,-0.8,41.6,
90,속초,2024-02-14,13.5,,4.6,55.4,
90,속초,2024-02-15,1.6,,0.1,90,
90,속초,2024-02-16,-0.1,,-3.7,77.9,
90,속초,2024-02-17,3.9,,-3.4,59.4,
90,속초,2024-02-18,6.2,,-1.3,60.4,
90,속초,2024-02-19,5.4,,4.3,92.9,
90,속초,2024-02-20,1.6,,0.7,94,
90,속초,2024-02-21,-0.2,,-1,93.9,
90,속초,2024-02-22,-1.7,,-4,84.4,
90,속초,2024-02-23,-1.6,,-3.9,84.6,
90,속초,2024-02-24,-0.4,,-3.8,78,
90,속초,2024-02-25,0.6,,-1.1,88.6,
90,속초,2024-02-26,1.3,,-1.9,79.5,
90,속초,2024-02-27,1.3,,-3,73.6,
90,속초,2024-02-28,1.3,,-1.7,80.3,
90,속초,2024-02-29,2.4,,-0.5,81.5,
90,속초,2024-03-01,-1.8,,-17.9,29.3,
90,속초,2024-03-02,-0.5,,-12.4,41.1,
90,속초,2024-03-03,3.6,,-6.5,49.3,
90,속초,2024-03-04,3.6,,-5.8,51.4,
90,속초,2024-03-05,2.4,,-0.8,80.4,
90,속초,2024-03-06,1.5,,-1.5,81.3,
90,속초,2024-03-07,0.9,,-1.4,84.1,
90,속초,2024-03-08,2.9,,-9.2,40.9,
90,속초,2024-03-09,0.3,,-8.9,51.1,
90,속초,2024-03-10,4.5,,-5.8,50.4,
90,속초,2024-03-11,7.5,,-7.8,36.1,
90,속초,2024-03-12,3.7,,-0.9,72.5,
90,속초,2024-03-13,7.3,,-4.4,49,
90,속초,2024-03-14,12.1,,-6.7,28,
90,속초,2024-03-15,15.9,,-4,25.4,
90,속초,2024-03-16,8.7,,4.2,74.3,
90,속초,2024-03-17,10.3,,-2.1,42.8,
90,속초,2024-03-18,6.2,,-5.7,44.8,
90,속초,2024-03-19,6.3,,-3.8,56.3,
90,속초,2024-03-20,2.8,,-4.3,60.8,
90,속초,2024-03-21,3.7,,-5.5,51.9,
90,속초,2024-03-22,4.7,,0.7,76.3,
90,속초,2024-03-23,6.3,,3.9,85.1,
90,속초,2024-03-24,7.8,,5.4,85.5,
90,속초,2024-03-25,6.2,,4.7,90,
90,속초,2024-03-26,3.3,,-0.1,80.3,
90,속초,2024-03-27,7.6,,3.7,77.4,
90,속초,2024-03-28,10.4,,5.1,70.5,
90,속초,2024-03-29,11.7,,-2.9,37.3,
90,속초,2024-03-30,8.8,,-3,49.9,
90,속초,2024-03-31,9.5,,-3.1,41.4,
90,속초,2024-04-01,9.9,,-0.9,48.6,
90,속초,2024-04-02,9.8,,3.1,66.1,
90,속초,2024-04-03,7.6,,3.9,78.3,
90,속초,2024-04-04,9.6,,2.8,64.1,
90,속초,2024-04-06,15.1,,4.1,51.4,
90,속초,2024-04-07,18,,2.2,36,
90,속초,2024-04-08,15.6,,5,50.4,
90,속초,2024-04-09,7.9,,-1.4,52.5,
90,속초,2024-04-10,10.4,,3.8,64.9,
90,속초,2024-04-11,13.6,,8,69.6,
90,속초,2024-04-12,15.5,,8.5,65.8,
90,속초,2024-04-13,17.7,,7.8,54.3,
90,속초,2024-04-14,17.6,,8.7,59,
90,속초,2024-04-15,13.1,,11.4,90,
90,속초,2024-04-16,18.2,,6.4,47.4,
90,속초,2024-04-17,15.6,,6.8,57.1,
90,속초,2024-04-18,14.3,,9.8,75,
90,속초,2024-04-19,15.7,,9,67.3,
90,속초,2024-04-20,12,,10.4,90.5,
90,속초,2024-04-21,12.5,,11.4,93.8,
90,속초,2024-04-22,13.7,,11.1,85.4,
90,속초,2024-04-23,13,,9.6,80.6,
90,속초,2024-04-24,10.6,,7.8,83.3,
90,속초,2024-04-25,20.1,,6.9,44.5,
90,속초,2024-04-26,19.1,,7.8,51,
90,속초,2024-04-27,19.3,,9.3,54.9,
90,속초,2024-04-28,14.8,,9.5,71.1,
90,속초,2024-04-29,12.5,,7.9,74.3,
90,속초,2024-04-30,11.7,,7.8,77.8,
90,속초,2024-05-01,12.5,,7.4,72.6,
90,속초,2024-05-02,14.8,,7.7,63.9,
90,속초,2024-05-03,19.1,,7.1,48.1,
90,속초,2024-05-04,18,,10.3,62.3,
90,속초,2024-05-05,16.5,,13.2,82.4,
90,속초,2024-05-06,16.7,,12.8,79.8,
90,속초,2024-05-07,10.7,,8.8,88.8,
90,속초,2024-05-08,11.8,,6.8,73.1,
90,속초,2024-05-09,18.5,,5,44.1,
90,속초,2024-05-10,22,,6.6,38,
90,속초,2024-05-11,20.6,,9.3,50.9,
90,속초,2024-05-12,18.5,,5.8,44.6,
90,속초,2024-05-13,18.2,,6.2,46.8,
90,속초,2024-05-14,23.8,,3.4,27.1,
90,속초,2024-05-15,14.7,,8,68.8,
90,속초,2024-05-16,12.6,,5.8,65.4,
90,속초,2024-05-17,21,,6.3,39.8,
90,속초,2024-05-18,23.6,,7.7,37.8,
90,속초,2024-05-19,18.2,,8.4,56.3,
90,속초,2024-05-20,14.4,,10.5,78,
90,속초,2024-05-21,15.6,,11.1,75.5,
90,속초,2024-05-22,17.9,,13.2,75.3,
90,속초,2024-05-23,26.7,,9.3,36.8,
90,속초,2024-05-24,16.6,,11.7,74.8,
90,속초,2024-05-25,16.3,,10.8,71.6,
90,속초,2024-05-26,17.8,,13.8,77.8,
90,속초,2024-05-27,20.4,,7.7,44.6,
90,속초,2024-05-28,16.8,,9.3,62.4,
90,속초,2024-05-29,19.6,,11.1,59.5,
90,속초,2024-05-30,18.6,,12.4,68.6,
90,속초,2024-05-31,18,,14.7,81.6,
90,속초,2024-06-01,16.2,,13.4,84,
90,속초,2024-06-02,15.9,,12.5,81.6,
90,속초,2024-06-03,16.7,,12.3,76.4,
90,속초,2024-06-04,18,,13.2,75,
90,속초,2024-06-05,19.1,,15.8,82,
90,속초,2024-06-06,19.9,,16.7,82.9,
90,속초,2024-06-07,20.8,,16.3,76.9,
90,속초,2024-06-08,18.8,,16.6,88.3,
90,속초,2024-06-09,22.4,,16.2,70.5,
90,속초,2024-06-10,23,,16.8,69.1,
90,속초,2024-06-11,24.9,,17.8,66.6,
90,속초,2024-06-12,26.5,,13.5,47.9,
90,속초,2024-06-13,23.2,,17.9,73.3,
90,속초,2024-06-14,22.7,,19.4,82.4,
90,속초,2024-06-15,22.1,,19.1,83.4,
90,속초,2024-06-16,24.1,,14.7,57.8,
90,속초,2024-06-17,28.6,,11,34,
90,속초,2024-06-18,25.8,,16.1,57.6,
90,속초,2024-06-19,24.5,,19.3,73.9,
90,속초,2024-06-20,25.6,,17.5,62.4,
90,속초,2024-06-21,23.8,,19.2,76.5,
90,속초,2024-06-22,22,,20.3,90.1,
90,속초,2024-06-23,21.4,,20.2,93.3,
90,속초,2024-06-24,22.7,,19.3,82,
